"","year","name","unemployment_rate","gdp","population","income","total_area_sq_km","land_area_sq_km","water_area_sq_km","high_school_grad_number","death_rate","death_numbers","percent_in_poverty"
"131","2017","Nevada",5,450.026,2969905,68440,286380,284332,2048,556851,21.6,676,13.3
"132","2017","New Hampshire",2.8,431.97,1348787,89180,24214,23187,1027,262891,37,467,7.7
"133","2017","New Jersey",4.5,415.764,8885525,84000,22591,19047,3544,1722597,30,2685,10
"134","2017","New Mexico",6.1,404.721,2091784,53770,314917,314161,757,365014,24.8,493,19
"135","2017","New York",4.6,427.368,19589572,72570,141297,122057,19240,3591287,19.4,3921,14.1
"136","2017","North Carolina",4.5,445.048,10268233,58420,139391,125920,13471,1771742,24.1,2414,14.7
"137","2017","North Dakota",2.6,418.17,754942,70950,183108,178711,4397,131653,9.2,68,10.2
"138","2017","Ohio",5,435.105,11659650,71560,116098,105829,10269,2646608,46.3,5111,13.9
"139","2017","Oklahoma",4,443.786,3931316,61180,181037,177660,3377,803755,20.1,775,15.8
"140","2017","Oregon",4.1,470.817,4143625,73690,254799,248608,6191,655921,12.4,530,13.2
"141","2017","Pennsylvania",5,428.979,12787641,72260,119280,115883,3397,3161786,44.3,5388,12.5
"142","2017","Rhode Island",4.5,408.598,1055673,77120,4001,2678,1324,203355,31,320,12.3
"143","2017","South Carolina",4.2,456.063,5021268,64310,82933,77857,5076,978521,20.5,1008,15.4
"144","2017","South Dakota",3.1,417.078,872868,67110,199729,196350,3379,170912,8.5,73,12.8
"145","2017","Tennessee",3.7,445.572,6708799,65210,109153,106798,2355,1461364,26.6,1776,15
"146","2017","Texas",4.3,467.063,28295273,70860,695662,676587,19075,4372430,10.5,2989,14.7
"147","2017","Utah",3.1,477.971,3101042,82290,219882,212818,7064,397812,22.3,650,9.7
"148","2017","Vermont",3,403.412,624344,75090,24906,23871,1035,129511,23.2,134,10.8
"149","2017","Virginia",3.7,419.182,8463587,83500,110787,102279,8508,1378738,17.9,1507,10.7
"150","2017","Washington",4.6,481.368,7423362,84360,184661,172119,12542,1101904,15.2,1169,11
"151","2017","West Virginia",5.2,406.276,1817004,55370,62756,62259,497,524710,57.8,974,18.5
"152","2017","Wisconsin",3.3,421.385,5790186,74850,169635,140268,29367,1222791,21.2,1177,11.3
"153","2017","Wyoming",4.3,386.269,578931,70200,253335,251470,1864,111594,12.2,69,10.8
"154","2018","Alabama",3.9,423.519,4887681,57720,135767,131171,4597,1020172,16.6,775,16.8
"155","2018","Alaska",6,365.983,735139,79450,1723337,1477953,245383,133851,14.6,110,11.1
"156","2018","Arizona",4.8,463.937,7158024,71990,295234,294207,1026,1112551,23.8,1670,14.1
"157","2018","Arkansas",3.7,427.258,3009733,57540,137732,134771,2961,681223,15.7,444,16.8
"158","2018","California",4.2,500.51,39461588,81480,423967,403466,20501,5391120,12.8,5348,12.8
